feature,weight
sentir,0.17331429
bosque,0.05292159
serem,0.041386794
suites,0.031995654
conversar,0.028611284
acustico,0.023943825
amplitude,0.021080235
personalizacao,0.020620218
master,0.019965893
terreno,0.01838978
revestidas,0.01647553
gastronomia,0.014555415
memorial,0.013737775
marmore,0.012888425
contemporaneo,0.012850839
idealizado,0.012686939
lajes,0.010474121
termico,0.009606947
acabamentos,0.009396011
guarita,0.007960125
tempo,0.0074369605
abrir,0.007247302
sociais,0.007124768
sofisticacao,0.006903637
falar,0.0068104626
alegre,0.0067595197
charmoso,0.0067056343
fachadas,0.006382606
disso,0.0060651926
suite,0.0059312163
detalhe,0.005257138
39,0.005246514
lareira,0.0051651024
unico,0.0050526895
elegancia,0.0050088237
bela,0.0049073533
caracteristicas,0.004890995
luxo,0.004751929
aberto,0.0044850726
opcao,0.0044804616
lavabo,0.004453464
requinte,0.004372216
vidros,0.004295241
maior,0.0041332347
raia,0.004060207
padrao,0.004025699
20,0.0040056813
vagas,0.0038462959
dependencia,0.0038446842
plantas,0.0038407603
ventiladas,0.0038011598
piscina,0.0037046773
especiais,0.0036240339
amigos,0.003416351
sacada,0.00327248
hidro,0.0032674945
empreendimento,0.0032504539
traz,0.0032161828
gerador,0.0030695458
rara,0.002920777
interna,0.002897544
americanas,0.0028649769
onde,0.0027600066
belissimo,0.0027264887
criando,0.0026815473
varanda,0.0026075686
altos,0.0025357201
fachada,0.0024461313
menos,0.0023532857
cenario,0.0022237839
777,0.0021473533
funcionarios,0.002072238
ter,0.0020460514
sauna,0.0020304036
impecavel,0.0019955018
empregada,0.0019827085
moinhos,0.0019188377
alvenaria,0.0019162957
lugar,0.0019052814
saibro,0.0019043915
coracao,0.0018366067
blindada,0.001811149
quartos,0.0018005838
experiencia,0.0017687022
futebol,0.0017142815
uniao,0.0016845769
ventos,0.0015861108
individuais,0.0015147647
05,0.0014865394
exclusivo,0.0014808439
separada,0.0014720181
57,0.0014543318
privativo,0.0014505391
garden,0.0014336559
filhos,0.0014186279
raridade,0.00139158
cm,0.0013863427
arejados,0.0013795703
cinema,0.001355284
praticidade,0.0013219209
nobres,0.0013217536
emergencia,0.0013198348
apartamentos,0.0012659497
moderna,0.0012514741
200,0.0012503209
fitness,0.0012019079
cobertura,0.0011785545
decorado,0.0011699871
gabinete,0.0011609157
iluminacao,0.001136949
anos,0.0011130691
deposito,0.0011104466
vista,0.0010463657
luminosidade,0.0010319252
termica,0.0010121573
amplos,0.0010029608
principal,0.0009885576
bordini,0.00097560533
casal,0.0009692695
diferencial,0.00095646275
infraestrutura,0.00094250403
intimo,0.0009399976
pecanha,0.00091769063
incrivel,0.0009068949
janelas,0.0009067445
localizado,0.0008985028
salas,0.000890869
arquitetura,0.0008704296
horas,0.0008670933
alto,0.0008646863
cozinha,0.0008619749
jantar,0.00086047756
magnifica,0.0008589607
sacadao,0.0008555808
auxiliar,0.00085164775
dormitorio,0.00084655057
laminados,0.00083640084
14,0.00083012565
adega,0.00082557654
jacuzzi,0.0008181343
deus,0.0008107128
conforto,0.0007999177
visita,0.0007928931
area,0.00077234727
projeto,0.0007713434
estilo,0.0007650437
closet,0.0007570889
moderno,0.0007472065
especialistas,0.0007463655
excelente,0.00074495707
anchieta,0.0007415185
completa,0.00073692144
metros,0.00073441234
passos,0.00072384044
detalhes,0.0007175163
playground,0.00071462506
park,0.00071149657
copa,0.00070478936
rio,0.00068986375
carros,0.0006786279
aquecida,0.0006731029
valores,0.00067143934
americana,0.0006705324
dormitorios,0.0006651064
nilo,0.00066493545
29,0.00066227175
lazer,0.000657184
apartamento,0.00065582164
privativos,0.0006415345
elegante,0.0006376807
onibus,0.0006372311
revestida,0.00063123624
finamente,0.0006229842
historia,0.0006175891
vao,0.0006125745
encol,0.0006060796
condominio,0.0006048318
composto,0.00059074856
inferior,0.00058485626
place,0.0005798054
massagem,0.00057952467
estacionamento,0.00057593215
duplos,0.0005702598
oferecer,0.00055609323
tipo,0.00055359193
aquecimento,0.00055108644
importante,0.00054490037
salao,0.000542749
definida,0.00053234264
ipa,0.00052878045
edificacao,0.0005252057
24,0.00052284397
despensa,0.00052227953
contemporanea,0.000510909
espaco,0.00050741795
residenciais,0.0005013946
vai,0.000494742
brinquedoteca,0.000491808
ja,0.0004895369
estrategica,0.00048924127
68,0.00048701785
sofisticado,0.00048417502
imponente,0.0004836753
circuito,0.00048010275
parcao,0.00047491072
campo,0.00047230467
selo,0.00046937674
cadastre,0.00046563838
bairro,0.00046536495
acabamento,0.00046481466
nobre,0.00046359928
festas,0.0004623152
pagamento,0.00045885053
51,0.00045717592
desempenho,0.00045422692
shopping,0.00044643282
fgts,0.00044030478
apenas,0.00043800718
contara,0.00043595303
tradicional,0.0004336411
proximo,0.00042647385
olhar,0.0004253284
