feature,weight,std
suite,0.22153310651508598,0.028535589992324653
suites,0.20529089041107235,0.04196310124129584
vaga,0.05924426895763195,0.007819575531215567
dormitorios,0.05276557823018617,0.012431959392025554
lavabo,0.025378240595491163,0.0071913409099933125
armarios,0.02041056877993199,0.002583390520790106
elevador,0.01925408257911978,0.0034429231629163233
03,0.01768396653599642,0.0004027222068423328
playground,0.009793488594289435,0.002096023312621404
carros,0.009039027035648317,0.0029626249564118526
dormitorio,0.008786795948072367,0.001361549678424113
sacada,0.007906431146078608,0.0011558780768588899
piscina,0.00705634641031414,0.0015985653044704796
closet,0.005968983608325517,0.0005054928970396115
vento,0.005856268693347544,0.0030750044510702303
fitness,0.005855105891370438,0.0020818079316822797
hrs,0.0055446435580256415,0.00497513839518072
apartamento,0.005477161314624524,0.0037692610553510197
sendo,0.004778846133446035,0.0017456420400965103
gourmet,0.00429650107785764,0.0005831005401099683
banheiro,0.004158816311442215,0.0012797979501395107
moinhos,0.003729515105972281,0.0013907203838669435
copa,0.003643843401130953,0.0014782825819878015
parquet,0.0036169297198955785,0.002599745155536094
aquecedor,0.0035602362621678374,0.0009531071433925461
24,0.0032629253814195234,0.0004438857502003384
empregada,0.0032318158400067134,0.001218094206986966
atender,0.003140547184810871,0.000514694662298321
garagem,0.0030648876007197457,0.0011131598219787592
vagas,0.002935576908863502,0.001198212209283343
encol,0.002910771040862481,0.0005972943304417878
saude,0.0028423099761926583,0.00033708401139012146
necessidades,0.0027755478559444045,0.00046097308874563063
auxiliar,0.002749540097234737,0.0005709275475259967
destinados,0.0027486084455022653,0.0002760511435050244
geladeira,0.0022151953845903627,0.0010298950584193896
qualidade,0.002187330937647092,0.0004316668094979087
01,0.0020707806570398725,0.001110935675123429
condicionado,0.001862178841385087,0.0007781492526254307
quadra,0.0018370670970796921,0.000749678570141287
condominio,0.001575960176845448,0.0007810414285761956
esportes,0.0014304522575098177,0.0007185636971372756
projetado,0.0013751962618894,0.00018639188761363024
jogos,0.0013497721028978616,0.0005728883082942449
aquecida,0.0013347554190527467,0.0001874282531949323
iguatemi,0.0012860323765810256,0.0004767673176444991
solar,0.0012782594534192615,0.0011182387109702574
fogao,0.0012072423487478057,0.0008431453003580589
todos,0.0011809256617582031,0.001321253168364886
salao,0.0011793400606784354,0.0008944183689831634
vida,0.0011349284085286904,0.00021068558399774123
jantar,0.0010580331295275691,0.00020718381688360565
posicao,0.0010398236761583579,0.000419237177181416
frente,0.0010031542583651687,0.000292795195365935
goethe,0.0009248170430351532,0.0024959396988456536
laminado,0.000911998813081949,0.0009432857714534524
horas,0.0009104233080611257,0.0009806231964783812
tanque,0.0008847283669428218,0.00039728872955388186
11,0.0008588924476845561,0.0002007417009528988
empreendimento,0.0008514440487986219,0.0002308925791748987
mobiliado,0.0008418847845170329,0.0005317357688503936
65,0.0007895541603040402,0.00042231501040572775
120,0.0007391997314961429,0.0002173680816427626
02,0.0007307557269744969,0.0009774099326578661
portaria,0.000723003954620971,0.0007966484833917699
parcao,0.0006956405870890636,0.00012912006955117616
localizada,0.0006932179570431574,0.0004478316341492287
sportcenter,0.0006930060922605286,0.00027356750975642403
