feature,weight
sentir,0.21738337
natural,0.097912416
suites,0.03570622
concebido,0.026567575
lajes,0.022456719
cm,0.02153617
master,0.02060401
25,0.01914398
anchieta,0.014689791
cadastre,0.0127398055
encantador,0.012658731
completo,0.012142306
filhos,0.011924927
localizado,0.011819637
empregada,0.010645552
fachadas,0.010127863
contemporanea,0.009108063
interna,0.00899545
contemporaneo,0.008703092
coberturas,0.008160995
conversar,0.007395592
vao,0.0072808317
praticidades,0.0069691017
suite,0.006856458
nobres,0.0066298824
charmoso,0.0064854203
lareira,0.0064675617
empreendimento,0.005847862
kids,0.0058007683
lavabo,0.0057628034
sofisticacao,0.0056800386
dependencia,0.0056373663
varanda,0.00538421
seguranca,0.0052008256
andar,0.005148794
detalhe,0.004875981
abrir,0.004774868
cenario,0.0047077867
vagas,0.004585931
unico,0.004277857
mao,0.0042237747
aquecida,0.0042108377
piscina,0.0042053093
blindada,0.00415799
belissimo,0.004020116
quatro,0.003981676
gerador,0.0039816126
luxo,0.003709508
exclusivo,0.003652383
bosque,0.003578113
05,0.003539887
estar,0.0033615176
padrao,0.0033505128
sauna,0.003250973
sacada,0.00323732
bela,0.0031898124
condicoes,0.0029943716
cinema,0.0027884818
moinhos,0.0027406814
guarita,0.0026898035
jantar,0.0026663207
hidro,0.0026213746
bem,0.0025528881
persianas,0.0025505149
200,0.0025472473
tipo,0.0025216443
garden,0.0024884609
viver,0.002468568
maior,0.0023010063
lavanderia,0.002171566
vista,0.0020117643
quase,0.0020035438
pagamento,0.0019827958
especiais,0.0019614883
deposito,0.0019345141
av,0.0019137554
29,0.0018684363
moderna,0.0018518204
adega,0.0018331483
20,0.0018271646
granito,0.0018074586
shopping,0.0017305269
vento,0.0016486144
57,0.0016444157
unica,0.0016251565
sala,0.0016224142
pele,0.0016119479
informacoes,0.0014822114
dormitorio,0.0014501791
codificados,0.0014032118
americanas,0.0013937908
pe,0.001381043
condominio,0.001377261
privativos,0.0013763282
elegancia,0.0013671858
jogos,0.0013492305
